"","Z","element","transition","transition.keV","intensity","width.eV","edge","edge.keV","fluorescence.yield","shell.filled","subshell.filled","shell.source","subshell.source","Siegbahn","Siegbahn.short","IUPAC.formatted","Siegbahn.formatted","uid"
"1604",70,"Yb","KL2",51.354,58,36.7,"",NA,NA,"K","K","L","L2","Ka2","Ka","$\mathrm{K}\mathrm{L}_2$","$\mathrm{K}\alpha_2$","70-Yb-KL2"
"1605",70,"Yb","KM3",59.382,21.7,NA,"",NA,NA,"K","K","M","M3","Kb1","Kb","$\mathrm{K}\mathrm{M}_3$","$\mathrm{K}\beta_1$","70-Yb-KM3"
"1606",70,"Yb","KN2,3",60.943,8.6,NA,"",NA,NA,"K","K","N","N2,3","Kb2","Kb","$\mathrm{K}\mathrm{N}_{2,3}$","$\mathrm{K}\beta_2$","70-Yb-KN2,3"
"1607",70,"Yb","KM2",59.159,11.2,NA,"",NA,NA,"K","K","M","M2","Kb3","Kb","$\mathrm{K}\mathrm{M}_2$","$\mathrm{K}\beta_3$","70-Yb-KM2"
"1608",70,"Yb","L3M5",7.416,100,NA,"",NA,NA,"L","L3","M","M5","La1","La","$\mathrm{L}_3\mathrm{M}_5$","$\mathrm{L}\alpha_1$","70-Yb-L3M5"
"1609",70,"Yb","L3M4",7.368,11.4,NA,"",NA,NA,"L","L3","M","M4","La2","La","$\mathrm{L}_3\mathrm{M}_4$","$\mathrm{L}\alpha_2$","70-Yb-L3M4"
"1610",70,"Yb","L2M4",8.402,65.8,NA,"",NA,NA,"L","L2","M","M4","Lb1","Lb","$\mathrm{L}_2\mathrm{M}_4$","$\mathrm{L}\beta_1$","70-Yb-L2M4"
"1611",70,"Yb","L3N5",8.759,20.4,NA,"",NA,NA,"L","L3","N","N5","Lb2","Lb","$\mathrm{L}_3\mathrm{N}_5$","$\mathrm{L}\beta_2$","70-Yb-L3N5"
"1612",70,"Yb","L1M3",8.536,2.7,NA,"",NA,NA,"L","L1","M","M3","Lb3","Lb","$\mathrm{L}_1\mathrm{M}_3$","$\mathrm{L}\beta_3$","70-Yb-L1M3"
"1613",70,"Yb","L1M2",8.313,2,NA,"",NA,NA,"L","L1","M","M2","Lb4","Lb","$\mathrm{L}_1\mathrm{M}_2$","$\mathrm{L}\beta_4$","70-Yb-L1M2"
"1614",70,"Yb","L3N1",8.464,1.2,NA,"",NA,NA,"L","L3","N","N1","Lb6","Lb","$\mathrm{L}_3\mathrm{N}_1$","$\mathrm{L}\beta_6$","70-Yb-L3N1"
"1615",70,"Yb","L3O1",8.889,0.2,NA,"",NA,NA,"L","L3","O","O1","Lb7","Lb","$\mathrm{L}_3\mathrm{O}_1$","$\mathrm{L}\beta_7$","70-Yb-L3O1"
"1616",70,"Yb","L1M5",8.963,0.1,NA,"",NA,NA,"L","L1","M","M5","Lb9","Lb","$\mathrm{L}_1\mathrm{M}_5$","$\mathrm{L}\beta_9$","70-Yb-L1M5"
"1617",70,"Yb","L1M4",8.915,0.1,NA,"",NA,NA,"L","L1","M","M4","Lb10","Lb","$\mathrm{L}_1\mathrm{M}_4$","$\mathrm{L}\beta_{10}$","70-Yb-L1M4"
"1618",70,"Yb","L2N4",9.787,12.5,NA,"",NA,NA,"L","L2","N","N4","Lg1","Lg","$\mathrm{L}_2\mathrm{N}_4$","$\mathrm{L}\gamma_1$","70-Yb-L2N4"
"1619",70,"Yb","L1N2",10.097,0.5,NA,"",NA,NA,"L","L1","N","N2","Lg2","Lg","$\mathrm{L}_1\mathrm{N}_2$","$\mathrm{L}\gamma_2$","70-Yb-L1N2"
"1620",70,"Yb","L1N3",10.146,0.7,NA,"",NA,NA,"L","L1","N","N3","Lg3","Lg","$\mathrm{L}_1\mathrm{N}_3$","$\mathrm{L}\gamma_3$","70-Yb-L1N3"
"1621",70,"Yb","L1O3",10.46,0.2,NA,"",NA,NA,"L","L1","O","O3","Lg4","Lg","$\mathrm{L}_1\mathrm{O}_3$","$\mathrm{L}\gamma_4$","70-Yb-L1O3"
"1622",70,"Yb","L2N1",9.496,0.4,NA,"",NA,NA,"L","L2","N","N1","Lg5","Lg","$\mathrm{L}_2\mathrm{N}_1$","$\mathrm{L}\gamma_5$","70-Yb-L2N1"
"1623",70,"Yb","L2O1",9.925,0.1,NA,"",NA,NA,"L","L2","O","O1","Lg8","Lg","$\mathrm{L}_2\mathrm{O}_1$","$\mathrm{L}\gamma_8$","70-Yb-L2O1"
"1624",70,"Yb","L3M1",6.546,5,NA,"",NA,NA,"L","L3","M","M1","Ll","Ll","$\mathrm{L}_3\mathrm{M}_1$","$\mathrm{L}\ell$","70-Yb-L3M1"
"1625",70,"Yb","L2M1",7.58,1.8,NA,"",NA,NA,"L","L2","M","M1","Ln","Ln","$\mathrm{L}_2\mathrm{M}_1$","$\mathrm{L}\eta$","70-Yb-L2M1"
"1626",70,"Yb","M5N7",1.523,100,NA,"",NA,NA,"M","M5","N","N7","Ma1","Ma","$\mathrm{M}_5\mathrm{N}_7$","$\mathrm{M}\alpha_1$","70-Yb-M5N7"
"1627",70,"Yb","M5N6",1.52,100,NA,"",NA,NA,"M","M5","N","N6","Ma2","Ma","$\mathrm{M}_5\mathrm{N}_6$","$\mathrm{M}\alpha_2$","70-Yb-M5N6"
"1628",70,"Yb","M4N6",1.568,45,NA,"",NA,NA,"M","M4","N","N6","Mb1","Mb","$\mathrm{M}_4\mathrm{N}_6$","$\mathrm{M}\beta_1$","70-Yb-M4N6"
"1629",70,"Yb","M3N5",1.765,1,NA,"",NA,NA,"M","M3","N","N5","Mg1","Mg","$\mathrm{M}_3\mathrm{N}_5$","$\mathrm{M}\gamma_1$","70-Yb-M3N5"
"1630",70,"Yb","M4,5N2,3",1.183,1,NA,"",NA,NA,"M","M4,5","N","N2,3","Mz1,2","Mz","$\mathrm{M}_{4,5}\mathrm{N}_{2,3}$","$\mathrm{M}\zeta_{1,2}$","70-Yb-M4,5N2,3"
"1631",70,"Yb","M2N4",1.977,0.5,NA,"",NA,NA,"M","M2","N","N4","","","$\mathrm{M}_2\mathrm{N}_4$","","70-Yb-M2N4"
"1632",70,"Yb","M3N1",1.464,0.5,NA,"",NA,NA,"M","M3","N","N1","","","$\mathrm{M}_3\mathrm{N}_1$","","70-Yb-M3N1"
"1633",70,"Yb","",NA,NA,NA,"K",61.332,0.951,"","","","","","","$\mathrm{K}$","","70-Yb-K"
"1634",70,"Yb","",NA,NA,NA,"L1",10.486,0.112,"","","","","","","$\mathrm{L}_1$","","70-Yb-L1"
"1635",70,"Yb","",NA,NA,NA,"L2",9.978,0.222,"","","","","","","$\mathrm{L}_2$","","70-Yb-L2"
"1636",70,"Yb","",NA,NA,NA,"L3",8.944,0.21,"","","","","","","$\mathrm{L}_3$","","70-Yb-L3"
"1637",70,"Yb","",NA,NA,NA,"M1",2.398,NA,"","","","","","","$\mathrm{M}_1$","","70-Yb-M1"
"1638",70,"Yb","",NA,NA,NA,"M2",2.173,NA,"","","","","","","$\mathrm{M}_2$","","70-Yb-M2"
"1639",70,"Yb","",NA,NA,NA,"M3",1.95,NA,"","","","","","","$\mathrm{M}_3$","","70-Yb-M3"
"1640",70,"Yb","",NA,NA,NA,"M4",1.576,NA,"","","","","","","$\mathrm{M}_4$","","70-Yb-M4"
"1641",70,"Yb","",NA,NA,NA,"M5",1.528,NA,"","","","","","","$\mathrm{M}_5$","","70-Yb-M5"
"1642",70,"Yb","",NA,NA,NA,"N1",0.481,NA,"","","","","","","$\mathrm{N}_1$","","70-Yb-N1"
"1643",71,"Lu","KL3",54.07,100,38.4,"",NA,NA,"K","K","L","L3","Ka1","Ka","$\mathrm{K}\mathrm{L}_3$","$\mathrm{K}\alpha_1$","71-Lu-KL3"
"1644",71,"Lu","KL2",52.965,58.1,38.7,"",NA,NA,"K","K","L","L2","Ka2","Ka","$\mathrm{K}\mathrm{L}_2$","$\mathrm{K}\alpha_2$","71-Lu-KL2"
"1645",71,"Lu","KM3",61.29,21.9,NA,"",NA,NA,"K","K","M","M3","Kb1","Kb","$\mathrm{K}\mathrm{M}_3$","$\mathrm{K}\beta_1$","71-Lu-KM3"
"1646",71,"Lu","KN2,3",62.902,8.7,NA,"",NA,NA,"K","K","N","N2,3","Kb2","Kb","$\mathrm{K}\mathrm{N}_{2,3}$","$\mathrm{K}\beta_2$","71-Lu-KN2,3"
"1647",71,"Lu","KM2",61.05,11.3,NA,"",NA,NA,"K","K","M","M2","Kb3","Kb","$\mathrm{K}\mathrm{M}_2$","$\mathrm{K}\beta_3$","71-Lu-KM2"
"1648",71,"Lu","L3M5",7.655,100,NA,"",NA,NA,"L","L3","M","M5","La1","La","$\mathrm{L}_3\mathrm{M}_5$","$\mathrm{L}\alpha_1$","71-Lu-L3M5"
"1649",71,"Lu","L3M4",7.605,11.4,NA,"",NA,NA,"L","L3","M","M4","La2","La","$\mathrm{L}_3\mathrm{M}_4$","$\mathrm{L}\alpha_2$","71-Lu-L3M4"
"1650",71,"Lu","L2M4",8.71,66.5,NA,"",NA,NA,"L","L2","M","M4","Lb1","Lb","$\mathrm{L}_2\mathrm{M}_4$","$\mathrm{L}\beta_1$","71-Lu-L2M4"
"1651",71,"Lu","L3N5",9.048,20.5,NA,"",NA,NA,"L","L3","N","N5","Lb2","Lb","$\mathrm{L}_3\mathrm{N}_5$","$\mathrm{L}\beta_2$","71-Lu-L3N5"
"1652",71,"Lu","L1M3",8.846,2.7,NA,"",NA,NA,"L","L1","M","M3","Lb3","Lb","$\mathrm{L}_1\mathrm{M}_3$","$\mathrm{L}\beta_3$","71-Lu-L1M3"
"1653",71,"Lu","L1M2",8.606,2,NA,"",NA,NA,"L","L1","M","M2","Lb4","Lb","$\mathrm{L}_1\mathrm{M}_2$","$\mathrm{L}\beta_4$","71-Lu-L1M2"
"1654",71,"Lu","L3N1",8.737,1.2,NA,"",NA,NA,"L","L3","N","N1","Lb6","Lb","$\mathrm{L}_3\mathrm{N}_1$","$\mathrm{L}\beta_6$","71-Lu-L3N1"
"1655",71,"Lu","L3O1",9.187,0.2,NA,"",NA,NA,"L","L3","O","O1","Lb7","Lb","$\mathrm{L}_3\mathrm{O}_1$","$\mathrm{L}\beta_7$","71-Lu-L3O1"
"1656",71,"Lu","L1M5",9.285,0.1,NA,"",NA,NA,"L","L1","M","M5","Lb9","Lb","$\mathrm{L}_1\mathrm{M}_5$","$\mathrm{L}\beta_9$","71-Lu-L1M5"
"1657",71,"Lu","L1M4",9.235,0.1,NA,"",NA,NA,"L","L1","M","M4","Lb10","Lb","$\mathrm{L}_1\mathrm{M}_4$","$\mathrm{L}\beta_{10}$","71-Lu-L1M4"
"1658",71,"Lu","L2N4",10.143,12.8,NA,"",NA,NA,"L","L2","N","N4","Lg1","Lg","$\mathrm{L}_2\mathrm{N}_4$","$\mathrm{L}\gamma_1$","71-Lu-L2N4"
"1659",71,"Lu","L1N2",10.458,0.5,NA,"",NA,NA,"L","L1","N","N2","Lg2","Lg","$\mathrm{L}_1\mathrm{N}_2$","$\mathrm{L}\gamma_2$","71-Lu-L1N2"
"1660",71,"Lu","L1N3",10.511,0.7,NA,"",NA,NA,"L","L1","N","N3","Lg3","Lg","$\mathrm{L}_1\mathrm{N}_3$","$\mathrm{L}\gamma_3$","71-Lu-L1N3"
"1661",71,"Lu","L1O3",10.843,0.2,NA,"",NA,NA,"L","L1","O","O3","Lg4","Lg","$\mathrm{L}_1\mathrm{O}_3$","$\mathrm{L}\gamma_4$","71-Lu-L1O3"
"1662",71,"Lu","L2N1",9.838,0.4,NA,"",NA,NA,"L","L2","N","N1","Lg5","Lg","$\mathrm{L}_2\mathrm{N}_1$","$\mathrm{L}\gamma_5$","71-Lu-L2N1"
"1663",71,"Lu","L2O1",10.292,0.1,NA,"",NA,NA,"L","L2","O","O1","Lg8","Lg","$\mathrm{L}_2\mathrm{O}_1$","$\mathrm{L}\gamma_8$","71-Lu-L2O1"
"1664",71,"Lu","L1N5",10.674,0,NA,"",NA,NA,"L","L1","N","N5","Lg11","Lg","$\mathrm{L}_1\mathrm{N}_5$","$\mathrm{L}\gamma_{11}$","71-Lu-L1N5"
"1665",71,"Lu","L3M1",6.753,5,NA,"",NA,NA,"L","L3","M","M1","Ll","Ll","$\mathrm{L}_3\mathrm{M}_1$","$\mathrm{L}\ell$","71-Lu-L3M1"
"1666",71,"Lu","L2M1",7.858,1.8,NA,"",NA,NA,"L","L2","M","M1","Ln","Ln","$\mathrm{L}_2\mathrm{M}_1$","$\mathrm{L}\eta$","71-Lu-L2M1"
"1667",71,"Lu","M5N6,7",1.581,100,NA,"",NA,NA,"M","M5","N","N6,7","Ma1,2","Ma","$\mathrm{M}_5\mathrm{N}_{6,7}$","$\mathrm{M}\alpha_{1,2}$","71-Lu-M5N6,7"
"1668",71,"Lu","M4N6",1.631,45,NA,"",NA,NA,"M","M4","N","N6","Mb1","Mb","$\mathrm{M}_4\mathrm{N}_6$","$\mathrm{M}\beta_1$","71-Lu-M4N6"
"1669",71,"Lu","M3N5",1.832,1,NA,"",NA,NA,"M","M3","N","N5","Mg1","Mg","$\mathrm{M}_3\mathrm{N}_5$","$\mathrm{M}\gamma_1$","71-Lu-M3N5"
"1670",71,"Lu","M4N2,3",1.232,1,NA,"",NA,NA,"M","M4","N","N2,3","Mz1","Mz","$\mathrm{M}_4\mathrm{N}_{2,3}$","$\mathrm{M}\zeta_1$","71-Lu-M4N2,3"
"1671",71,"Lu","M2N4",2.06,0.5,NA,"",NA,NA,"M","M2","N","N4","","","$\mathrm{M}_2\mathrm{N}_4$","","71-Lu-M2N4"
"1672",71,"Lu","",NA,NA,NA,"K",63.314,0.953,"","","","","","","$\mathrm{K}$","","71-Lu-K"
"1673",71,"Lu","",NA,NA,NA,"L1",10.87,0.12,"","","","","","","$\mathrm{L}_1$","","71-Lu-L1"
"1674",71,"Lu","",NA,NA,NA,"L2",10.349,0.234,"","","","","","","$\mathrm{L}_2$","","71-Lu-L2"
"1675",71,"Lu","",NA,NA,NA,"L3",9.244,0.22,"","","","","","","$\mathrm{L}_3$","","71-Lu-L3"
"1676",71,"Lu","",NA,NA,NA,"M1",2.491,NA,"","","","","","","$\mathrm{M}_1$","","71-Lu-M1"
"1677",71,"Lu","",NA,NA,NA,"M2",2.264,NA,"","","","","","","$\mathrm{M}_2$","","71-Lu-M2"
"1678",71,"Lu","",NA,NA,NA,"M3",2.024,NA,"","","","","","","$\mathrm{M}_3$","","71-Lu-M3"
"1679",71,"Lu","",NA,NA,NA,"M4",1.639,NA,"","","","","","","$\mathrm{M}_4$","","71-Lu-M4"
"1680",71,"Lu","",NA,NA,NA,"M5",1.589,NA,"","","","","","","$\mathrm{M}_5$","","71-Lu-M5"
"1681",71,"Lu","",NA,NA,NA,"N1",0.507,NA,"","","","","","","$\mathrm{N}_1$","","71-Lu-N1"
"1682",72,"Hf","KL3",55.79,100,40.5,"",NA,NA,"K","K","L","L3","Ka1","Ka","$\mathrm{K}\mathrm{L}_3$","$\mathrm{K}\alpha_1$","72-Hf-KL3"
"1683",72,"Hf","KL2",54.612,58.3,40.7,"",NA,NA,"K","K","L","L2","Ka2","Ka","$\mathrm{K}\mathrm{L}_2$","$\mathrm{K}\alpha_2$","72-Hf-KL2"
"1684",72,"Hf","KM3",63.244,22,NA,"",NA,NA,"K","K","M","M3","Kb1","Kb","$\mathrm{K}\mathrm{M}_3$","$\mathrm{K}\beta_1$","72-Hf-KM3"
"1685",72,"Hf","KN2,3",64.913,8.7,NA,"",NA,NA,"K","K","N","N2,3","Kb2","Kb","$\mathrm{K}\mathrm{N}_{2,3}$","$\mathrm{K}\beta_2$","72-Hf-KN2,3"
"1686",72,"Hf","KM2",62.986,11.4,NA,"",NA,NA,"K","K","M","M2","Kb3","Kb","$\mathrm{K}\mathrm{M}_2$","$\mathrm{K}\beta_3$","72-Hf-KM2"
"1687",72,"Hf","L3M5",7.899,100,NA,"",NA,NA,"L","L3","M","M5","La1","La","$\mathrm{L}_3\mathrm{M}_5$","$\mathrm{L}\alpha_1$","72-Hf-L3M5"
"1688",72,"Hf","L3M4",7.845,11.3,NA,"",NA,NA,"L","L3","M","M4","La2","La","$\mathrm{L}_3\mathrm{M}_4$","$\mathrm{L}\alpha_2$","72-Hf-L3M4"
"1689",72,"Hf","L2M4",9.023,66.8,NA,"",NA,NA,"L","L2","M","M4","Lb1","Lb","$\mathrm{L}_2\mathrm{M}_4$","$\mathrm{L}\beta_1$","72-Hf-L2M4"
"1690",72,"Hf","L3N5",9.346,20.7,NA,"",NA,NA,"L","L3","N","N5","Lb2","Lb","$\mathrm{L}_3\mathrm{N}_5$","$\mathrm{L}\beta_2$","72-Hf-L3N5"
"1691",72,"Hf","L1M3",9.164,2.7,NA,"",NA,NA,"L","L1","M","M3","Lb3","Lb","$\mathrm{L}_1\mathrm{M}_3$","$\mathrm{L}\beta_3$","72-Hf-L1M3"
"1692",72,"Hf","L1M2",8.906,2.1,NA,"",NA,NA,"L","L1","M","M2","Lb4","Lb","$\mathrm{L}_1\mathrm{M}_2$","$\mathrm{L}\beta_4$","72-Hf-L1M2"
"1693",72,"Hf","L3O4,5",9.555,0.1,NA,"",NA,NA,"L","L3","O","O4,5","Lb5","Lb","$\mathrm{L}_3\mathrm{O}_{4,5}$","$\mathrm{L}\beta_5$","72-Hf-L3O4,5"
"1694",72,"Hf","L3N1",9.023,1.2,NA,"",NA,NA,"L","L3","N","N1","Lb6","Lb","$\mathrm{L}_3\mathrm{N}_1$","$\mathrm{L}\beta_6$","72-Hf-L3N1"
"1695",72,"Hf","L3O1",9.496,0.2,NA,"",NA,NA,"L","L3","O","O1","Lb7","Lb","$\mathrm{L}_3\mathrm{O}_1$","$\mathrm{L}\beta_7$","72-Hf-L3O1"
"1696",72,"Hf","L1M5",9.61,0.1,NA,"",NA,NA,"L","L1","M","M5","Lb9","Lb","$\mathrm{L}_1\mathrm{M}_5$","$\mathrm{L}\beta_9$","72-Hf-L1M5"
"1697",72,"Hf","L1M4",9.556,0.1,NA,"",NA,NA,"L","L1","M","M4","Lb10","Lb","$\mathrm{L}_1\mathrm{M}_4$","$\mathrm{L}\beta_{10}$","72-Hf-L1M4"
"1698",72,"Hf","L2M3",8.629,0.1,NA,"",NA,NA,"L","L2","M","M3","Lb17","Lb","$\mathrm{L}_2\mathrm{M}_3$","$\mathrm{L}\beta_{17}$","72-Hf-L2M3"
"1699",72,"Hf","L2N4",10.519,12.9,NA,"",NA,NA,"L","L2","N","N4","Lg1","Lg","$\mathrm{L}_2\mathrm{N}_4$","$\mathrm{L}\gamma_1$","72-Hf-L2N4"
"1700",72,"Hf","L1N2",10.833,0.5,NA,"",NA,NA,"L","L1","N","N2","Lg2","Lg","$\mathrm{L}_1\mathrm{N}_2$","$\mathrm{L}\gamma_2$","72-Hf-L1N2"
"1701",72,"Hf","L1N3",10.89,0.7,NA,"",NA,NA,"L","L1","N","N3","Lg3","Lg","$\mathrm{L}_1\mathrm{N}_3$","$\mathrm{L}\gamma_3$","72-Hf-L1N3"
"1702",72,"Hf","L1O3",11.237,0.2,NA,"",NA,NA,"L","L1","O","O3","Lg4","Lg","$\mathrm{L}_1\mathrm{O}_3$","$\mathrm{L}\gamma_4$","72-Hf-L1O3"
"1703",72,"Hf","L2N1",10.199,0.5,NA,"",NA,NA,"L","L2","N","N1","Lg5","Lg","$\mathrm{L}_2\mathrm{N}_1$","$\mathrm{L}\gamma_5$","72-Hf-L2N1"
"1704",72,"Hf","L2O1",10.675,0.1,NA,"",NA,NA,"L","L2","O","O1","Lg8","Lg","$\mathrm{L}_2\mathrm{O}_1$","$\mathrm{L}\gamma_8$","72-Hf-L2O1"
"1705",72,"Hf","L1N5",11.051,0,NA,"",NA,NA,"L","L1","N","N5","Lg11","Lg","$\mathrm{L}_1\mathrm{N}_5$","$\mathrm{L}\gamma_{11}$","72-Hf-L1N5"
"1706",72,"Hf","L3M1",6.96,5.1,NA,"",NA,NA,"L","L3","M","M1","Ll","Ll","$\mathrm{L}_3\mathrm{M}_1$","$\mathrm{L}\ell$","72-Hf-L3M1"
"1707",72,"Hf","L2M1",8.138,1.8,NA,"",NA,NA,"L","L2","M","M1","Ln","Ln","$\mathrm{L}_2\mathrm{M}_1$","$\mathrm{L}\eta$","72-Hf-L2M1"
"1708",72,"Hf","M5N7",1.645,100,NA,"",NA,NA,"M","M5","N","N7","Ma1","Ma","$\mathrm{M}_5\mathrm{N}_7$","$\mathrm{M}\alpha_1$","72-Hf-M5N7"
"1709",72,"Hf","M5N6",1.643,100,NA,"",NA,NA,"M","M5","N","N6","Ma2","Ma","$\mathrm{M}_5\mathrm{N}_6$","$\mathrm{M}\alpha_2$","72-Hf-M5N6"
"1710",72,"Hf","M4N6",1.698,45,NA,"",NA,NA,"M","M4","N","N6","Mb1","Mb","$\mathrm{M}_4\mathrm{N}_6$","$\mathrm{M}\beta_1$","72-Hf-M4N6"
"1711",72,"Hf","M3N5",1.895,4,NA,"",NA,NA,"M","M3","N","N5","Mg1","Mg","$\mathrm{M}_3\mathrm{N}_5$","$\mathrm{M}\gamma_1$","72-Hf-M3N5"
"1712",72,"Hf","M4N2,3",1.28,17,NA,"",NA,NA,"M","M4","N","N2,3","Mz1","Mz","$\mathrm{M}_4\mathrm{N}_{2,3}$","$\mathrm{M}\zeta_1$","72-Hf-M4N2,3"
"1713",72,"Hf","M5N3",1.28,8.5,NA,"",NA,NA,"M","M5","N","N3","Mz2","Mz","$\mathrm{M}_5\mathrm{N}_3$","$\mathrm{M}\zeta_2$","72-Hf-M5N3"
"1714",72,"Hf","M1N3",2.214,0.2,NA,"",NA,NA,"M","M1","N","N3","","","$\mathrm{M}_1\mathrm{N}_3$","","72-Hf-M1N3"
"1715",72,"Hf","M2N4",2.149,0.8,NA,"",NA,NA,"M","M2","N","N4","","","$\mathrm{M}_2\mathrm{N}_4$","","72-Hf-M2N4"
"1716",72,"Hf","M3N1",1.57,1,NA,"",NA,NA,"M","M3","N","N1","","","$\mathrm{M}_3\mathrm{N}_1$","","72-Hf-M3N1"
"1717",72,"Hf","M3N4",1.881,2.3,NA,"",NA,NA,"M","M3","N","N4","Mg2","Mg","$\mathrm{M}_3\mathrm{N}_4$","$\mathrm{M}\gamma_2$","72-Hf-M3N4"
"1718",72,"Hf","M4N3",1.337,5.3,NA,"",NA,NA,"M","M4","N","N3","","","$\mathrm{M}_4\mathrm{N}_3$","","72-Hf-M4N3"
"1719",72,"Hf","",NA,NA,NA,"K",65.351,0.955,"","","","","","","$\mathrm{K}$","","72-Hf-K"
"1720",72,"Hf","",NA,NA,NA,"L1",11.271,0.128,"","","","","","","$\mathrm{L}_1$","","72-Hf-L1"
"1721",72,"Hf","",NA,NA,NA,"L2",10.739,0.246,"","","","","","","$\mathrm{L}_2$","","72-Hf-L2"
"1722",72,"Hf","",NA,NA,NA,"L3",9.561,0.231,"","","","","","","$\mathrm{L}_3$","","72-Hf-L3"
"1723",72,"Hf","",NA,NA,NA,"M1",2.601,NA,"","","","","","","$\mathrm{M}_1$","","72-Hf-M1"
"1724",72,"Hf","",NA,NA,NA,"M2",2.365,NA,"","","","","","","$\mathrm{M}_2$","","72-Hf-M2"
"1725",72,"Hf","",NA,NA,NA,"M3",2.107,NA,"","","","","","","$\mathrm{M}_3$","","72-Hf-M3"
"1726",72,"Hf","",NA,NA,NA,"M4",1.716,NA,"","","","","","","$\mathrm{M}_4$","","72-Hf-M4"
"1727",72,"Hf","",NA,NA,NA,"M5",1.662,NA,"","","","","","","$\mathrm{M}_5$","","72-Hf-M5"
"1728",72,"Hf","",NA,NA,NA,"N1",0.538,NA,"","","","","","","$\mathrm{N}_1$","","72-Hf-N1"
"1729",73,"Ta","KL3",57.535,100,42.6,"",NA,NA,"K","K","L","L3","Ka1","Ka","$\mathrm{K}\mathrm{L}_3$","$\mathrm{K}\alpha_1$","73-Ta-KL3"
"1730",73,"Ta","KL2",56.28,58.5,42.9,"",NA,NA,"K","K","L","L2","Ka2","Ka","$\mathrm{K}\mathrm{L}_2$","$\mathrm{K}\alpha_2$","73-Ta-KL2"
"1731",73,"Ta","KM3",65.222,22.2,NA,"",NA,NA,"K","K","M","M3","Kb1","Kb","$\mathrm{K}\mathrm{M}_3$","$\mathrm{K}\beta_1$","73-Ta-KM3"
"1732",73,"Ta","KN2,3",66.953,8.8,NA,"",NA,NA,"K","K","N","N2,3","Kb2","Kb","$\mathrm{K}\mathrm{N}_{2,3}$","$\mathrm{K}\beta_2$","73-Ta-KN2,3"
"1733",73,"Ta","KM2",64.947,11.5,NA,"",NA,NA,"K","K","M","M2","Kb3","Kb","$\mathrm{K}\mathrm{M}_2$","$\mathrm{K}\beta_3$","73-Ta-KM2"
"1734",73,"Ta","L3M5",8.146,100,NA,"",NA,NA,"L","L3","M","M5","La1","La","$\mathrm{L}_3\mathrm{M}_5$","$\mathrm{L}\alpha_1$","73-Ta-L3M5"
"1735",73,"Ta","L3M4",8.088,11.4,NA,"",NA,NA,"L","L3","M","M4","La2","La","$\mathrm{L}_3\mathrm{M}_4$","$\mathrm{L}\alpha_2$","73-Ta-L3M4"
"1736",73,"Ta","L2M4",9.343,66.5,NA,"",NA,NA,"L","L2","M","M4","Lb1","Lb","$\mathrm{L}_2\mathrm{M}_4$","$\mathrm{L}\beta_1$","73-Ta-L2M4"
"1737",73,"Ta","L3N5",9.651,20.8,NA,"",NA,NA,"L","L3","N","N5","Lb2","Lb","$\mathrm{L}_3\mathrm{N}_5$","$\mathrm{L}\beta_2$","73-Ta-L3N5"
"1738",73,"Ta","L1M3",9.488,2.7,NA,"",NA,NA,"L","L1","M","M3","Lb3","Lb","$\mathrm{L}_1\mathrm{M}_3$","$\mathrm{L}\beta_3$","73-Ta-L1M3"
"1739",73,"Ta","L1M2",9.213,2.1,NA,"",NA,NA,"L","L1","M","M2","Lb4","Lb","$\mathrm{L}_1\mathrm{M}_2$","$\mathrm{L}\beta_4$","73-Ta-L1M2"
"1740",73,"Ta","L3O4,5",9.875,0.4,NA,"",NA,NA,"L","L3","O","O4,5","Lb5","Lb","$\mathrm{L}_3\mathrm{O}_{4,5}$","$\mathrm{L}\beta_5$","73-Ta-L3O4,5"
"1741",73,"Ta","L3N1",9.318,1.3,NA,"",NA,NA,"L","L3","N","N1","Lb6","Lb","$\mathrm{L}_3\mathrm{N}_1$","$\mathrm{L}\beta_6$","73-Ta-L3N1"
"1742",73,"Ta","L3O1",9.81,0.2,NA,"",NA,NA,"L","L3","O","O1","Lb7","Lb","$\mathrm{L}_3\mathrm{O}_1$","$\mathrm{L}\beta_7$","73-Ta-L3O1"
"1743",73,"Ta","L1M5",9.957,0.1,NA,"",NA,NA,"L","L1","M","M5","Lb9","Lb","$\mathrm{L}_1\mathrm{M}_5$","$\mathrm{L}\beta_9$","73-Ta-L1M5"
"1744",73,"Ta","L1M4",9.899,0.1,NA,"",NA,NA,"L","L1","M","M4","Lb10","Lb","$\mathrm{L}_1\mathrm{M}_4$","$\mathrm{L}\beta_{10}$","73-Ta-L1M4"
"1745",73,"Ta","L2M3",8.948,0.1,NA,"",NA,NA,"L","L2","M","M3","Lb17","Lb","$\mathrm{L}_2\mathrm{M}_3$","$\mathrm{L}\beta_{17}$","73-Ta-L2M3"
"1746",73,"Ta","L2N4",10.898,13,NA,"",NA,NA,"L","L2","N","N4","Lg1","Lg","$\mathrm{L}_2\mathrm{N}_4$","$\mathrm{L}\gamma_1$","73-Ta-L2N4"
"1747",73,"Ta","L1N2",11.219,0.5,NA,"",NA,NA,"L","L1","N","N2","Lg2","Lg","$\mathrm{L}_1\mathrm{N}_2$","$\mathrm{L}\gamma_2$","73-Ta-L1N2"
